OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,CID,DependeVar,amenity,name,operator,brand,ID_unque,Parking_Location,NEAR_FID,Train_station,Gas_station,CarRental,BusStation,Hospital,EatingDrinking,RoadNetwork,PowerNetwork,obsvalue,categorie,POINT_X,POINT_Y,RASTERVALU
113,1,315,1,315,,1,charging_station,ChargePoint,ChargePoint, ,315,290.8399159,5104,2462.620903,348.9159811,787.286934,1635.658719,1879.695393,241.7593621,3.065000131,81.3547194,6331,Woongebied,162922.9468,381765.2799,0.826030076
120,1,322,1,322,,1,charging_station, ,EVnetNL, ,322,24.35155034,6047,343.8311543,812.8363545,319.6691401,515.0362941,2661.343076,121.4350672,5.86610307,0.919837769,3156,Detailhandel en horeca,161681.2199,383491.4323,0.608958781
121,1,323,1,323,,1,charging_station,ChargePoint,ChargePoint, ,323,444.0036106,8918,2217.399269,508.6736862,498.2457496,1455.818194,2053.943896,95.73679702,3.551156263,30.96003582,6331,Woongebied,162931.5451,382075.4619,0.777357757
122,1,324,1,324,,1,charging_station, , , ,324,428.3543102,6435,2768.605113,600.6005323,1830.954803,1812.063998,381.6261113,424.645295,3.549067556,99.23244097,693,Sociaal-culturele voorziening,161611.7429,381040.6656,0.513960481
123,1,325,1,325,,1,charging_station, , , ,325,348.1524172,3769,2580.467855,666.2398613,1204.675568,1770.672399,1694.245208,223.4072522,9.627868804,33.73344174,6897,Woongebied,159887.4491,381833.6293,0.646343946
124,1,326,1,326,,1,charging_station,AL398,Evnet, ,326,14.60393398,3799,1681.239239,587.0741218,855.7158511,722.2735745,1322.426802,53.45196564,8.209677413,0.511360855,6715,Park en plantsoen,161647.2381,382130.2171,0.798041224
125,1,327,1,327,,1,charging_station, , , ,327,438.8556828,3883,1516.060241,574.6024667,453.153412,751.8294391,1497.496896,237.2948715,5.927158288,82.06231342,5934,Woongebied,161128.9161,382351.6536,0.815664053
126,1,328,1,328,,1,charging_station,ChargePoint,ChargePoint, ,328,155.3296604,8917,2070.625985,550.2397658,1051.533112,1147.029543,1468.546588,132.4683021,18.10436916,58.07051784,7304,Woongebied,162324.1573,381888.757,0.825219214
127,1,329,1,329,,1,charging_station,ChargePoint,ChargePoint, ,329,165.3304639,1432,1664.927172,783.5001912,759.4718694,768.2309551,1707.600752,298.5099862,4.409605819,82.29068729,6715,Woongebied,162218.5401,382284.4707,0.810004592
128,1,330,1,330,,1,charging_station,ChargePoint,ChargePoint, ,330,289.9758786,6679,2786.523083,691.0907422,714.9017797,2200.789972,2818.403985,299.0582084,4.500430778,5.623720467,2392,Woongebied,163783.9081,382145.1441,0.645898104
129,1,331,1,331,,1,charging_station,ChargePoint,ChargePoint, ,331,545.3148847,6799,3040.610228,328.9363549,1067.963237,2276.27472,2355.205583,280.7676946,3.090176007,2.935659446,6331,Woongebied,163538.9658,381510.1365,0.777200341
130,1,332,1,332,,1,charging_station, , , ,332,271.646428,6631,2865.587719,358.9041067,824.3945355,2168.695715,2513.06205,380.0800073,6.984160571,2.650195069,6331,Woongebied,163601.9951,381810.032,0.748306453
131,1,333,1,333,,1,charging_station, ,Opcharge, ,333,375.0418407,2977,3025.608078,833.315948,1653.641164,2262.289069,1212.409389,497.8687205,7.001904272,11.60802897,6897,Woongebied,160098.1389,381153.1253,0.653615713
132,1,334,1,334,,1,charging_station,Vattenfall InCharge,Vattenfall InCharge, ,334,343.0031226,2442,3037.771302,871.7007766,1479.134524,2256.502944,1384.391946,493.3434422,6.703084963,1.155798302,6897,Woongebied,159940.7826,381230.9784,0.672951639
133,1,335,1,335,,1,charging_station, ,Opcharge, ,335,313.9498359,2903,1626.315411,436.4430958,335.9074042,893.2303477,1583.444591,64.46367897,8.617866433,56.97174536,5934,Woongebied,160791.4047,382369.1118,0.83210361
134,1,336,1,336,,1,charging_station, ,Allego, ,336,246.8384162,6171,1508.669585,482.8406404,266.8642991,798.7356926,1623.807037,39.24153759,8.621726885,5.023792948,5934,Woongebied,160907.1489,382442.905,0.831109941
135,1,337,1,337,,1,charging_station, ,Park&Charge, ,337,445.8330225,2908,1487.053093,647.6249156,874.7302252,807.40837,2626.608315,267.3274835,4.850900024,0.206554614,6159,Woongebied,160146.0706,383232.9584,0.79113096
136,1,338,1,338,,1,charging_station, ,Allego, ,338,598.4290691,7405,1387.123408,425.1120263,615.8489483,611.8740038,2407.538346,189.2014151,13.38092821,35.92169558,6159,Woongebied,160362.3241,383089.1684,0.808192492
137,1,339,1,339,,1,charging_station, ,Park&Charge, ,339,591.3976288,2839,1388.215239,569.227551,753.2032881,661.8223355,2552.954851,296.6212696,7.302645283,16.76019197,6159,Woongebied,160292.2055,383217.534,0.794790804
138,1,340,1,340,,1,charging_station, ,Opcharge, ,340,211.6287149,3782,1331.631021,547.327953,220.0314252,614.5110237,1739.957079,50.9618225,6.400777273,7.889897278,5934,Woongebied,161026.4893,382583.4225,0.828971386
139,1,341,1,341,,1,charging_station,Vattenfall InCharge,Vattenfall InCharge, ,341,462.7916994,3386,1098.502143,631.9002647,666.1344189,388.7994936,2548.091432,6.740767144,5.473331743,36.67849714,4669,Hoofdweg,160569.5676,383309.8145,0.810954213
140,1,342,1,342,,1,charging_station, ,Opcharge, ,342,311.2391118,3203,1275.533715,287.2315702,332.3584676,457.8788117,2184.187998,48.57163608,6.063564264,14.16839877,5934,Woongebied,160611.935,382942.4318,0.850110173
141,1,343,1,343,,1,charging_station, ,Opcharge, ,343,87.42688575,3398,1070.042611,505.0459708,252.6018812,308.843036,2108.454237,70.13916281,6.668870213,4.10954696,5934,Detailhandel en horeca,160923.0777,382940.1833,0.841166735
142,1,344,1,344,,1,charging_station, ,Opcharge, ,344,307.283457,3203,1272.849508,288.4009259,328.6564607,455.1411927,2182.001505,52.55467512,5.408693965,13.57988862,5934,Woongebied,160616.407,382941.5578,0.850110173
143,1,345,1,345,,1,charging_station, ,Allego, ,345,345.2905307,3405,1318.063572,261.2713268,362.4996541,501.2854705,2191.436608,8.14161289,4.571292131,12.65448706,5934,Woongebied,160562.4705,382933.6884,0.8509323
144,1,346,1,346,,1,charging_station, ,Allego, ,346,468.3466469,3385,1164.388499,470.2409218,504.4322827,374.6668503,2379.559852,82.13041436,6.166894819,2.892576251,4669,Woongebied,160594.04,383141.3626,0.822744966
145,1,347,1,347,,1,charging_station, ,Allego, ,347,196.5324944,2927,2493.502325,298.3413866,1195.266635,1749.136402,1101.338604,195.1025468,8.380731879,53.95218497,6897,Woongebied,160437.2111,381576.2879,0.691114485
146,1,348,1,348,,1,charging_station, ,Ecotap, ,348,117.5727398,7349,744.1345605,929.9182037,1498.109438,1130.243865,3359.407213,48.04748103,17.43194142,21.42255129,3582,Bedrijfsterrein,160126.7891,384018.4173,0.686205924
147,1,349,1,349,,1,charging_station, ,Ecotap, ,349,0,9343,674.3363682,664.261515,1629.404225,1328.133241,3445.628229,93.46575396,20.34163031,46.56023783,3582,Bedrijfsterrein,159861.4663,384003.6702,0.663948834
148,1,350,1,350,,1,charging_station, ,Ecotap, ,350,0,9343,677.3598273,662.2713898,1627.912784,1327.825617,3443.397509,95.36148253,16.52817708,46.39750997,3582,Bedrijfsterrein,159859.5577,384000.3642,0.663948834
149,1,351,1,351,,1,charging_station, ,Ecotap, ,351,141.1426711,5246,1876.195496,522.6094785,968.6704668,933.4799802,1453.984983,62.67444295,7.064539275,3.142565198,7304,Woongebied,162141.6995,382028.6506,0.822278321
150,1,352,1,352,,1,charging_station, ,Ecotap, ,352,8.331657469,5683,3874.646615,239.2623341,3338.30393,1703.161325,6847.306343,25.75569271,3.840931117,7.427549874,5778,Hoofdweg,162265.5368,387636.5565,0.68523246
151,1,353,1,353,,1,charging_station, ,Allego, ,353,480.6507443,9065,3061.750122,516.0649788,1322.744887,2195.326444,1889.471664,28.53629252,1.739942126,8.232477354,6331,Woongebied,163135.5062,381190.3036,0.785187423
152,1,354,1,354,,1,charging_station, ,Opcharge, ,354,304.7696946,5255,676.425576,379.2418358,424.7360006,733.6365798,2738.271893,207.0582867,3.471615641,86.71706999,3156,Woongebied,162129.6763,383462.7297,0.718349397
153,1,355,1,355,,1,charging_station, ,Alfen, ,355,74.13471477,2171,3664.415678,460.9031616,754.5185058,3325.175591,3091.680646,367.9262425,0.980304221,8.581606957,2684,Hoofdweg,158222.2148,381350.7769,0.647463381
154,1,356,1,356,,1,charging_station, ,Allego, ,356,196.9853489,9832,808.5702463,257.4558545,1896.88368,1898.489848,4298.018051,370.9304719,5.691366696,0.355124801,6303,Woongebied,160467.2291,385082.7377,0.756389618
155,1,357,1,357,,1,charging_station, ,allego, ,357,210.5227306,9717,1325.255785,646.5294861,1174.055568,1096.150508,2861.624054,83.30043324,6.870733395,10.02941968,6159,Woongebied,159861.9743,383349.7691,0.768848956
156,1,358,1,358,,1,charging_station, ,allego, ,358,77.77824976,1034,1392.545568,514.2401924,1403.245761,1385.316076,2971.389993,180.4548732,8.068139716,78.75208067,6159,Woongebied,159568.8129,383294.0703,0.730464816
157,1,359,1,359,,1,charging_station, ,Allego, ,359,121.5734404,995,3403.542495,632.4477886,1097.145262,2594.36098,1915.403942,604.5836144,7.445269519,66.96517498,5261,Woongebied,159386.1973,381179.9926,0.60247165
158,1,360,1,360,,1,charging_station,Fastned Limburglaan (Albert Heijn),Fastned, ,360,0,1138,1914.135008,147.587015,1033.880146,1609.716201,2684.871247,638.9977237,14.91678871,68.03087179,904,Bedrijfsterrein,159409.3786,382792.1858,0.500490189
159,1,361,1,361,,1,charging_station, ,ABB, ,361,378.4918849,7260,224.2239628,710.0865882,2350.996956,2018.881825,4206.511437,368.1407067,14.98414976,18.44461105,3582,Bedrijfsterrein,159548.0044,384696.9859,0.570598841
