ID_unque,DependeVar,Eating,GasStation,Hospital,CarRental,NSStation,BusTaxi,RoadNetwor,PowerNetwo,obsvalue
1,0,1280.0771914910526,1490.685021569675,4425.227399446187,2883.0626032332284,5074.089340555488,4246.057407790111,7.513825936210124,208.39825447749968,452
2,0,8593.221473312253,10152.877793583899,1054.9839467781574,1054.9839467781574,14438.223450017991,10464.52962323905,273.1058004979047,649.6330528594939,NA
3,0,NA,NA,NA,NA,NA,NA,22.364688324726323,65.67951496655773,25
4,0,828.2270191118789,0,4076.146323650651,265.7095765583713,3198.4164057100525,3985.1611251003346,16.59064783751972,9.933136055047463,904
5,0,981.4563767414843,1644.217457825622,6828.731728962385,3368.578933795706,5817.140611284808,3222.695216156087,1.661481233669293,246.2018817960501,11
6,0,1462.6320590183584,2578.6691427541286,8303.918760681916,3999.226269,7292.327643,3999.226269,18.235094219274846,307.34723488817355,NA
7,0,NA,NA,NA,NA,NA,NA,41.637538009666926,370.0227096490447,NA
8,0,477.68503560211576,2619.554822182682,2648.673293931612,2648.673293931612,5485.675520875207,7076.755851291797,21.78447510312538,123.60378049165608,1533
9,0,364.91461351827274,714.1250686638657,3676.0674717457714,3676.0674717457714,4514.193841374651,5513.288775107404,18.723166400440334,10.527817503945423,4980
10,0,376.5245782,1404.5903223695575,2924.7454238460145,1225.0415268539166,2419.4625345718123,705.0578984994359,1.764639858358493,25.246144727028042,5934
11,0,681.9832963738078,652.9325320003021,2869.1895472126084,1122.8879410643751,3049.8451694766118,2360.7748020975814,15.34008140158211,45.896336828873295,4302
12,0,446.2100839810114,360.4929896220316,4330.4820249615705,803.6055358522872,2056.042667901041,1174.2210369150507,1.202102535,28.793440092677383,3156
13,0,445.89696831568847,1581.4320355227683,4540.632274,1315.1169021882372,931.9426389383183,1931.0375726710704,2.444959155633523,123.3528043758547,1006
14,0,116.0719259406685,903.4633115504328,8075.962897713706,0,7064.371780036129,170.92018063682542,153.06783866293384,125.69810575788635,NA
15,0,795.5761688938484,0,4583.6005689664535,4583.6005689664535,5465.015983951966,6132.901525854593,50.33507975061356,109.81722901904926,8
16,0,203.87881563253893,1440.7629213191601,3810.8969298288844,1242.469579764156,1480.7964163295317,607.1143812013511,19.223398246018885,8.347075519232327,4669
17,0,480.16861157607116,849.5513300967942,3263.6994574577993,3263.6994574577993,4142.248709025064,5537.476957139141,21.89116353106345,103.47033643591841,6165
18,0,263.83480405592064,393.3530240649814,3290.3690047939485,754.1587288604081,2107.9756248953568,1610.050216374822,19.58418478783366,14.33696850148294,6159
19,0,408.50243852447375,934.1661171932689,4000.8388594983717,2919.347705,2753.732708894623,3752.8276426273756,10.543795922676512,55.48589819973452,5321
20,0,418.72308951421985,3415.575153186421,4939.306210280367,4441.262517930139,6879.026392,5233.326700838481,46.42991794488332,150.09060402990943,167
21,0,1698.7498230080676,1664.9568341676436,3545.035249781371,2199.7833923921967,2246.044141091408,3156.1388459700797,1.065331662579217,3.466553373725834,3156
22,0,0,1132.7528214548386,1787.054428825292,1398.1205093204435,2661.6730899410327,3426.3066104641853,5.745858907566117,4.789950019803206,3216
23,0,63.29012111232035,1066.2033664850092,3334.553826260568,3334.553826260568,4823.710194499288,5865.367072928546,2.279172699262159,98.54273581112676,4980
24,0,1894.4678910881391,2616.4939179173575,1000.7077342886748,3653.6121177848054,5801.675318692866,4099.488387876835,0.648378246,64.30740422695526,167
25,0,620.5374024914476,896.3129920956758,4731.006637027632,3945.489469328022,1986.7734704000732,3969.119423173388,5.053950011104981,8.268670682723121,4269
26,0,NA,NA,NA,NA,NA,NA,12.69970437227057,10.356327007356473,6715
27,0,512.2429228590547,566.1139876318421,2829.747659338578,2829.747659338578,4753.586695289968,5759.0386203425205,9.807185458441893,38.48843056514397,5778
28,0,1337.8464721604485,1066.716668032941,8029.120072706208,1453.918398101117,6530.206995913598,1320.184538064864,60.56015577732739,140.80230101387866,1161
29,0,821.0412376865041,996.7753015656842,4729.244076175692,4013.830337381901,1915.2890912538805,3945.3710609839845,18.496401604938686,91.14170794234063,4269
30,0,680.7416067786554,885.9295277699551,3158.2800019336873,3158.2800019336873,4685.998300480739,5685.093234213493,10.618397666960865,0.640488778,4363
31,0,170.88086522418962,1351.6721068684653,5466.082006038363,2773.662242538575,631.7592371926904,2495.212824965814,3.718874388704571,26.412203598508526,3582
32,0,767.4830746599263,425.61044908295327,4536.980627598044,299.4286587914571,3372.2303183045146,4445.995429047728,1.668563689952939,9.596699009,120
33,0,NA,NA,NA,NA,NA,NA,9.417785708623128,103.35703809948738,25
34,0,976.0835869,1581.6936793139014,4774.693655353614,1278.9367103791683,4628.384667748814,3115.2893940775034,68.94691403848572,65.15046213753367,2392
35,0,NA,NA,NA,NA,NA,NA,6.495327447,8.891174617616153,958
36,0,1164.6435368335656,2724.299857105214,6183.781480462654,3169.685546796614,6737.248546341043,3035.9516867603606,2.417266674239959,50.38743920839073,NA
37,0,1338.0280346980867,1397.8103624735145,4901.001634240914,2023.1852578115866,5528.138075411164,3778.6862281969675,23.10650637072903,24.807466780531268,489
38,0,1048.6392607677722,0,4182.336507060034,2575.919324302693,2410.872719207949,3416.3246442605005,4.450419271298903,40.22607499597352,5321
39,0,1870.207618425931,1889.5323389761804,7345.344400150092,2378.7432312714886,5345.891721053957,2245.0093712352354,11.080149795969417,18.834387828451092,2224
40,0,1492.7106063533859,1703.3184364320077,3439.1006228453925,3095.696018095561,5286.722755,4458.690822652444,24.605685080572954,20.18946705619983,452
41,0,898.4842807008705,730.9551286867182,2470.6085922160546,2470.6085922160546,5064.585593713134,6070.037518765686,14.44837044900515,10.124153199733916,3031
42,0,244.7722555096413,185.57040420111278,4520.867960743907,3746.829330112094,2685.9727792987724,3875.7573209975403,18.028692007961478,34.89952652651624,4282
43,0,607.0879716076696,790.3181659666211,2119.617343545858,1897.665211,4179.562880813458,2477.3759499974262,15.631864489910823,10.373426293466467,6897
44,0,453.22229441262596,0,2236.3729720549836,1400.0241657572062,3758.6891649135605,2056.5022340975293,17.87881799957023,149.73018219744307,693
45,0,1025.4905915573474,958.4647501028617,4494.459562756033,3534.384074405555,3369.3374693108112,4374.7893943633635,7.268365234408951,22.161646322423692,2963
46,0,1146.3339608557465,1716.247619970323,6412.333727,2011.5581262566711,4622.0180634837725,4244.048334610778,2.329150394167685,67.58371969,NA
47,0,488.2566148187769,2335.053591556451,2257.6204822770446,2257.6204822770446,4788.385230592923,6379.4655610095115,12.869262760903851,51.65124516432378,5981
48,0,2495.890319199813,2514.431148777601,8247.643588526234,5255.117569280996,7236.052470848658,5109.233851641375,11.808301295562446,47.88534293369315,4
49,0,409.76838387749996,681.5306608,3811.638572255236,2062.3738976723353,1859.1163300028848,2517.2421269044394,0.55208407,55.204162540025465,6159
50,0,347.16060121004847,830.5919731866563,2394.005006997973,1489.144739563311,3672.6545357042105,2590.9832933709567,33.90182018184301,37.45156592812085,6897
51,0,1228.9532727679011,1543.2933791441628,3132.7173975256674,2809.7614421694025,4589.345798168763,4084.710524773833,54.00161555769145,54.15375295,1763
52,0,2217.687379790134,2236.2282093679223,7965.721777719854,4973.195758474616,6954.130660042279,4827.312040834995,28.27893134242854,19.659066676933527,1703
53,0,962.5706956,1039.2689550517723,1939.501,1588.0571267812281,3310.904461903727,4090.6765724715665,12.661899341961183,94.29089069681845,18
54,0,663.1771424526693,527.7696585403614,5472.670895861596,2325.5421923510717,1628.677497434558,3516.9861556463256,21.094903558782907,10.90845833690191,2493
55,0,1332.5594234723026,1947.259846537392,3882.7182887891004,3882.7182887891004,4221.134444520471,5228.110129403129,13.059126641619367,76.30649435532227,32
56,0,1035.2886974734963,1035.2886974734963,3889.837059241455,3889.837059241455,2827.4859081177997,4707.940049768834,6.081240423164513,3.050898735959349,4269
57,0,387.3142201770338,3384.1662838492352,4907.897341,4409.8536485929535,6847.6175228159545,5201.917831501295,6.089785889942939,26.16697078396315,167
58,0,49.62619053253453,1090.6489035178436,2587.721166933379,1632.8731235993687,2780.160562371793,975.9955835621936,17.611643663712325,26.68087445425601,7304
