"ID_unque","DependeVar","Eating","GasStation","Hospital","CarRental","NSStation","BusTaxi","RoadNetwor","PowerNetwo","obsvalue"
179,0,630.669713632319,1810.17673436583,1625.72157170238,3532.90068280062,5496.76943626621,3692.60445745662,56.0532099146973,95.0803869792626,151
14,0,116.071925940669,903.463311550433,8075.96289771371,0,7064.37178003613,170.920180636825,153.067838662934,125.698105757886,NA
195,0,124.725502541565,1304.23252327508,1045.56045636492,3026.95647170986,4990.82522517546,3186.66024636586,8.344616801,87.0336498419943,398
306,1,372.529041226248,655.603437722863,5468.06219610069,2737.28322372915,1624.06879767365,3512.37745588541,3.828897701,10.3105990508329,2493
118,0,1492.71060635339,1703.31843643201,3439.10062284539,3095.69601809556,5286.722755,4458.69082265244,11.7470853506373,7.71148061108015,452
299,1,1777.02759478258,1001.69423000248,1545.41381463708,1545.41381463708,5956.373681,6961.82560648122,4.52797177653007,61.4158541578875,3031
229,1,0,902.923678876824,4166.2496436932,1994.29966212022,1386.60301844211,2369.02281031683,6.92164056556309,1.80124966104555,6159
244,1,1124.80395305587,1644.72128391271,4717.14037402977,3288.82600920347,3095.63059192761,4094.72552566036,9.02241030956682,66.20484165,4282
403,1,90.2082192263849,695.818311591123,3920.65541466501,499.17849515175,3865.7901564258,2336.38342303626,3.77675653562514,41.8884989132454,1676
374,1,159.509136253871,1111.91509530302,4438.80074882878,2266.8507672558,1468.79465698108,2096.47170518125,5.62296341940658,23.3166201519985,6159
153,0,76.25070041505,1296.65729141369,3434.91143407445,1179.64015932462,1859.09550210033,240.210173100103,25.3743678373894,31.3637306811486,6715
90,0,1285.53741231067,930.746533135165,4534.44503683898,2339.35577537982,5770.26743079789,4828.46552739709,22.2291737841059,81.82644548,1556
91,0,223.415505163451,1059.28513149517,4668.60399623238,4668.60399623238,4467.08402999077,5134.969572,8.56344720217398,40.1063907095705,1703
256,1,841.412749224124,1024.64294358308,2353.94212116231,2131.98998876408,4413.88765842991,2711.70072761388,10.4161524985927,96.1667774066779,6897
197,0,1253.6780201407,2203.83822195942,7109.06134456901,2499.14872824577,5109.60866547287,2993.28248796409,28.6424800885307,35.2521465302808,4481
392,1,521.796978282424,581.579306057852,3962.62517305318,1616.091622506,4681.82938007459,2884.99514338664,6.7659812309459,69.8765158667115,6331
348,1,0,1204.09040512399,5121.76191008926,2571.13753618258,1213.37247341881,2292.46043852598,17.4319414167219,21.4225512892352,3582
137,0,1103.60528711642,1507.23023619251,2150.33971736134,1796.07166235917,2712.64368818202,3492.41579874986,7.29509567449638,273.236508114176,208
355,1,360.941803566706,651.915792210831,4313.84220601551,1046.05377634029,4476.96543175836,4552.53980635049,0.980304221,8.58160695653425,2684
328,1,160.763379334755,939.765722557702,2719.05493370681,1236.50227723747,3015.41976849528,1211.25478968568,18.1043691606691,58.0705178404298,7304
26,0,NA,NA,NA,NA,NA,NA,12.6997043722706,10.3563270073565,6715
7,0,NA,NA,NA,NA,NA,NA,41.6375380096669,370.022709649045,NA
387,1,231.896009856942,317.613104215922,3670.22498034114,1178.1005934553,2208.98290549333,1509.9811125445,6.58855310053881,31.8519121710135,5466
254,1,0,369.963104017068,2566.90093502045,190.414308501427,2679.65701135532,1313.07330812038,5.67938566931446,0.527433171,5934
211,1,632.300800659565,500.4520208,2419.35522948486,1983.11154058225,2029.37228928147,2794.00581,16.3141214857556,17.0201813301081,208
78,0,412.197960685296,2700.33901796701,2283.58394307833,2283.58394307833,6101.40646354456,7575.05712495075,1.44420964313315,5.32807868068452,1198
81,0,382.926982075552,697.329124100816,4150.1070600724,1583.61076815086,5081.06752537479,4388.80466040738,5.01196530060714,70.5209728941955,2684
43,0,607.08797160767,790.318165966621,2119.61734354586,1897.665211,4179.56288081346,2477.37594999743,15.6318644899108,10.3734262934665,6897
359,1,792.790744581546,873.146780696033,2965.24812836278,1323.05126717416,4464.97628411168,3203.945729,7.4452695186002,66.9651749768128,5261
373,1,178.448540920596,512.600890463913,3293.99894192416,631.657981069919,1995.71256603691,1280.06075414948,5.055149519,73.7765556619525,4669
332,1,497.334811820653,492.502600257739,3917.27193146054,1075.64372499319,4442.25538626724,2709.02614504773,6.98416057140299,2.65019506889292,6331
143,0,1241.11162669408,3003.08337267584,6976.26590793317,3298.39387896219,5908.85381618929,3484.27377215024,4.57829673189235,7.81414038511016,1574
32,0,767.483074659926,425.610449082953,4536.98062759804,299.428658791457,3372.23031830451,4445.99542904773,1.66856368995294,9.596699009,120
109,0,664.0794061,626.153268407754,4940.17511137204,3468.2132551465,2962.14928947748,3600.64530194,18.2454942374186,35.1546057316759,4282
263,1,328.7528915752,973.798021985954,4922.9885762481,2257.58506186783,1184.91644964192,2248.70380648263,5.69731145851991,0.023371217,7328
330,1,408.831229893554,877.228742154518,4240.69238224261,873.920248376068,4240.53191,2711.12517626058,4.50043077774024,5.62372046711313,2392
23,0,63.2901211123203,1066.20336648501,3334.55382626057,3334.55382626057,4823.71019449929,5865.36707292855,2.27917269926216,98.5427358111268,4980
309,1,424.183410751482,715.157399395608,4377.08381320028,984.436703144314,4415.34835856238,4615.78141353527,11.6340940396677,45.8673328276558,2684
135,0,2360.9405527785,840.4183271,961.500856641156,961.500856641156,6443.30333476753,7448.75525982008,16.9567155582677,14.4825728747383,46
367,1,421.816124875542,822.941872474228,5603.70890759846,3236.38917397611,1131.96549625667,3271.05002894976,4.638123063,28.2157659582905,2493
224,1,306.945676897687,322.626685907697,2718.69635415533,452.859822752914,2632.32059324595,1664.51914766427,7.92073601143198,37.9368982086645,5934
166,0,148.858852644968,822.6346949,4771.825249,2077.6910229376,1171.78569695436,2206.61901382305,42.5392945923295,25.6528898263394,7328
217,1,239.749554375238,1172.04099190869,2951.330203,1242.51902892331,2908.70486568495,1111.87062899699,5.6486987465831,81.503227366678,6715
290,1,607.185502402015,361.795394744263,3162.26996317958,3162.26996317958,4629.12477123686,5634.57669628942,8.04163966190536,18.8956884628296,5778
69,0,17.4834858608159,295.858305253135,2882.0871620337,1532.77929811719,2720.159703421,2508.11162151695,12.6635402216278,67.1948065393265,5585
72,0,1024.20443312667,1752.50904540119,4489.3773075698,3953.08030918787,3502.15962212446,3807.19659154825,25.70629328,20.2895012069497,1703
76,0,126.858254777904,616.16237656241,4330.18822142409,2601.34396435481,2435.72896826376,3434.82390199652,0.417661517,64.8999530098756,5321
63,0,897.256117763807,1211.59622414007,2801.02024252157,2478.064287,4257.64864316467,3753.01336976974,6.95169160161368,112.606339649203,1763
141,0,1196.24260323409,1485.90801889642,4965.51444140002,1661.3316217166,5027.943283,3498.53654960111,17.1914834211867,109.42323301867,2392
210,1,114.744174629011,730.1168177,1856.11203912263,1533.15608376637,3740.60406072739,3407.69791010009,5.82061332948726,48.4520014134027,5585
353,1,49.8912541648891,730.972440528779,3060.71435446967,1920.52597099096,4343.49775569895,2539.33277688935,1.73994212564188,8.23247735356529,6331
347,1,367.548532349625,460.754024033594,1800.48693110818,1577.57719905045,3860.43246837578,2158.24553755975,8.38073187907625,53.9521849713973,6897
394,1,64.1190166977026,149.836111056682,3894.237497,906.031858687456,1912.96787893869,1215.29567775522,6.03147488673589,92.3722202500759,3156
294,1,825.259424181522,889.720023333376,2605.6139932165,2605.6139932165,5066.60319661243,6072.05512166499,5.50759136246184,10.8432162431695,5778
277,1,29.8923419500684,851.973754942907,3633.37180640316,971.0308455,1649.05788720096,933.40607531353,12.9508704454984,18.4011394198618,4669
41,0,898.48428070087,730.955128686718,2470.60859221605,2470.60859221605,5064.58559371313,6070.03751876569,14.4483704490052,10.1241531997339,3031
393,1,702.474664570825,762.256992346253,4200.87616013905,1796.7693087944,4892.58470528391,3123.24613047251,3.99959490497641,26.4296881131444,2601
316,1,491.127940673563,1626.66300788064,4585.86324632627,1360.34787454611,977.173611296193,1976.26854502895,3.14100960336007,26.896262885197,1006
223,1,0,416.413483057938,2757.31524352188,0,2582.32902132399,1503.48761662181,8.009921536046,2.85130051533937,5934
16,0,203.878815632539,1440.76292131916,3810.89692982888,1242.46957976416,1480.79641632953,607.114381201351,19.2233982460189,8.34707551923233,4669
116,0,707.1628299,1107.7736417366,3114.51362790978,3114.51362790978,4907.84241444739,5906.93734818014,29.5387955238405,152.656703551754,4363
94,0,11597.1910097421,12465.8204531436,14487.9708823728,13157.3810477726,16588.2927031907,15402.6009221469,18.3816152414814,162.191713276144,NA
