OBJECTID,Join_Count,TARGET_FID,bu_code,bu_naam,wk_code,gm_naam,gm_code,aantal_personenautos_2024,aantal_thuislaadpunten_2024,aantal_werklaadpunten_2024,aantal_semi_publiekelaadpunten_2024,aantal_bestemmingslaadpunten_2024,aantal_laadpunten_parkeergarages_2024,aantal_laadpunten_parkeerpleinen_2024,aantal_dc_snellaadpunten_2024,vermogen_dc_snellaadpunten_kw_2024,aantal_personenautos_2030,aantal_evs_2030,aantal_thuislaadpunten_2030,aantal_werklaadpunten_2030,aantal_semi_publiekelaadpunten_2030,aantal_bestemmingslaadpunten_2030,aantal_laadpunten_parkeergarages_2030,aantal_laadpunten_parkeerpleinen_2030,aantal_dc_snellaadpunten_2030,vermogen_dc_snellaadpunten_kw_2030,aantal_personenautos_2035,aantal_evs_2035,aantal_thuislaadpunten_2035,aantal_werklaadpunten_2035,aantal_semi_publiekelaadpunten_2035,aantal_bestemmingslaadpunten_2035,aantal_laadpunten_parkeergarages_2035,aantal_laadpunten_parkeerpleinen_2035,aantal_dc_snellaadpunten_2035,vermogen_dc_snellaadpunten_kw_2035,aantal_personenautos_2050,aantal_evs_2050,aantal_thuislaadpunten_2050,aantal_werklaadpunten_2050,aantal_semi_publiekelaadpunten_2050,aantal_bestemmingslaadpunten_2050,aantal_laadpunten_parkeergarages_2050,aantal_laadpunten_parkeerpleinen_2050,aantal_dc_snellaadpunten_2050,vermogen_dc_snellaadpunten_kw_2050,id,toename_vermogen_dc_snellaadpunten_kw_2030_tov_2024,toename_vermogen_dc_snellaadpunten_kw_2050_tov_2030,toename_vermogen_dc_snellaadpunten_kw_2050_tov_2024,X_cord,Y_cord,Join_Count_1,TARGET_FID_1,JOIN_FID,NAME,TOTPOP_CY,AREA,ID_12,NAME_1,TOTPOP_CY_1,Shape_Length_1,OBJECTID_1,regionaam,Solar_power_capacity_per_km2____MW_,Area_km2_,UniqueID,POINT_X,POINT_Y,Population,Solar_Supply_MW
53,1,8178,BU07725340,Blixembosch-Oost,WK077253,Eindhoven,GM0772,3992.69705,297.4546311,9.839710304,128.4378135,2.371139255,0,0,0.021532044,1.614903282,4245.398348,1581.990804,375.046083,19,340.4063087,5.455871754,0,0,0.049476797,3.710759764,4451.331269,3741.826232,513.7554497,19,665.2388083,9.978683814,0,0,0.091176216,6.8382162,4772.096619,4772.096619,561,19,645.3624057,15.44436364,0,0,0.144702248,10.85266863,5137,2.095856482,7.141908869,9.237765351,161216,388976,13,6238,-1,Woenselse Heide,5421,0.81,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,5137,161215.6925,388975.5606,442.6378447,1.9278
54,1,8111,BU07727120,Oude Spoorbaan,WK077271,Eindhoven,GM0772,735.3425002,17.04897069,15.35099293,8.389333198,0.37773423,0,0,0.051177611,3.838320844,781.882972,98.00855863,18.59945039,33.90796109,22.10802674,0.869147398,0,0,0.117597024,8.819776831,819.8100241,231.8161361,21.37122554,59.49096207,42.9151557,1.589653764,0,0,0.216708687,16.25315155,878.8859798,878.8859798,34,85.59943628,123.0397601,2.460363636,0,0,0.343929982,25.79474863,6314,4.981455986,16.9749718,21.95642779,160512,382470,8,6473,-1,Bergen,2872,0.35,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6314,160512.3717,382470.3833,27.42259755,0.833
55,1,8156,BU07724240,Mensfort,WK077242,Eindhoven,GM0772,1270.952409,23.89987071,14.90540307,12.44764096,2.633755545,0,15.0813965,0.564292146,45.95260911,1351.392102,142.2960843,24.13660222,32.92372223,32.75979155,6.060138582,0,38.81993013,1.296642725,105.5909012,1416.944519,336.5678355,24.55980447,57.76413112,63.53117621,11.08387614,0,45,2.389463034,194.5837125,1519.05031,1519.05031,27,83.11476045,216.5499893,17.15490909,0,45,3.792224429,308.8162895,5460,59.63829211,203.2253883,262.8636804,160487,385893,5,6533,-1,Kronehoef,4646,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,5460,160487.316,385892.5476,39.81415814,1.5946
56,1,8155,BU07724260,Vredeoord,WK077242,Eindhoven,GM0772,24.14729086,2.849568757,24.7531557,0,3.130292381,0,0,0.364727667,30.0900325,25.67559408,10.184379,10.184379,54.67587953,0,7.202644783,0,0,0.838079138,69.14152886,26.92104849,24.08874715,24.08874715,95.92793465,0,13.17349787,0,0,1.544418583,127.4145331,28.86099386,28.86099386,28.86099386,138.0273044,0,20.38909091,0,0,2.451087041,202.2146809,2161,39.05149636,133.073152,172.1246484,158936,386292,10,6960,-1,Woensel-West,4662,0.7,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,2161,158935.7283,386291.9694,2.849568757,1.666
57,1,8217,BU07727240,Bennekel-Oost,WK077272,Eindhoven,GM0772,1312.002803,13,12,15.82127392,2.39615033,0,0,0.043064088,3.229806564,1395.040612,146.8920946,13,12,42.51627004,5.513420976,0,0,0.098953594,7.421519528,1462.710301,347.4386142,13,12,79.60442133,10.08394023,0,0,0.182352432,13.6764324,1568.114,1568.114,13,12,239.1519205,15.60727273,0,0,0.289404497,21.70533727,5961,4.191712964,14.28381774,18.4755307,160304,381192,8,7009,-1,Blaarthem,2522,0.36,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,5961,160303.7217,381192.1522,41.10011258,0.8568
58,1,8151,BU07724210,Woensel-West,WK077242,Eindhoven,GM0772,1468.155284,23.3584507,23.69894493,12.21021505,4.726423275,0,16.93663832,0.020283809,1.521285701,1561.07612,139.3905582,23.46422943,52.34729154,32.13230355,10.87526141,0,40,0.046608577,3.495643256,1636.799748,329.6954987,23.65332889,91.84246519,62.31056112,19.89064258,0,40,0.085890638,6.441797869,1754.748427,1754.748427,25,132.1488672,250.43744,30.78545455,0,40,0.136313712,10.22352842,6106,1.974357556,6.727885166,8.702242722,159795,385144,10,7142,-1,Limbeek-Noord,2512,0.31,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6106,159794.7583,385143.9599,39.00119779,0.7378
59,1,8164,BU07725420,Luytelaer,WK077254,Eindhoven,GM0772,639.7882206,58.33271982,0,16.0432988,0,0,0,0,0,680.2809783,244.979201,99.32181812,0,43.06873337,0,0,0,0,0,713.2795894,579.4405367,172.5975686,0,84.72209032,0,0,0,0,0,764.6789041,764.6789041,203,0,86.09324273,0,0,0,0,0,6174,0,0,0,163060,386829,14,7213,-1,Oude Gracht-West,2872,0.51,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6174,163060.0889,386828.704,68.54468765,1.2138
60,1,8204,BU07726340,Zandrijk,WK077263,Eindhoven,GM0772,1445.7328,84.20643149,0,42.41135721,0,0,0,0,0,1537.234497,491.0363334,89.11445499,0,111.7037901,0,0,0,0,0,1611.801631,1161.430666,97.88847345,0,216.7483918,0,0,0,0,0,1727.948933,1727.948933,104,0,243.7252587,0,0,0,0,0,6379,0,0,0,156462,384234,6,7375,-1,Meerbos,62,1.23,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6379,156462.4681,384234.2166,137.3909783,2.9274
61,1,8159,BU07725150,Winkelcentrum,WK077251,Eindhoven,GM0772,327.7132331,0,27.97662624,3.18270229,3.342774864,0,6.525477154,0,0,348.4544911,36.29166862,0,61.79602572,8.375000451,7.691556252,0,16.0665567,0,0,365.3570866,85.83938495,0,108.4201145,16.23988364,14.06770748,0,30.30759112,0,0,391.6849167,391.6849167,0,156.001859,55.9549881,21.77309091,0,77.72807901,0,0,6605,0,0,0,161138,386699,6,7588,-1,Rapenland,2417,0.53,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6605,161138.191,386699.1832,10.15433588,1.2614
62,1,8110,BU07722110,Irisbuurt,WK077221,Eindhoven,GM0772,1072.139714,42.70413501,79.82933351,22.25469154,3.933996486,0,26.18868803,0.102355223,7.676641689,1139.996377,254.3488365,43.08956338,176.3306091,58.56927203,9.051927364,0,41,0.235194049,17.63955366,1195.294553,601.6022001,43.77858936,309.3691641,113.5824761,16.55579991,0,41,0.433417375,32.50630309,1281.428128,1281.428128,45,445.1403227,182.7098619,25.624,0,41,0.687859964,51.58949727,8824,9.962911973,33.94994361,43.91285558,162470,382812,10,7641,-1,Binnenstad,4008,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,8824,162470.255,382811.6301,71.16629281,1.5946
