m,t,grid_in_G,grid_out_Z,inventory_INV,flow_S,flow_X,net_grid
0,0,6746.6852596629815,0.0,7411.686049108631,0.0,29.39024250819869,6746.6852596629815
0,1,0.0,0.0,7.7,0.0,86.81746812017286,0.0
0,2,20434.394605855163,0.0,8438.735362640233,0.0,141.3276103073235,20434.394605855163
0,3,45.42900980627928,0.0,3098.9374673767093,0.0,63.05590480008114,45.42900980627928
1,0,5026.142760665601,0.0,5698.700699573388,0.0,21.883628346399693,5026.142760665601
1,1,0.0,0.0,0.0,0.0,66.65415185798152,0.0
1,2,16652.753255021184,0.0,6986.506672986599,0.0,113.04355403641743,16652.753255021184
1,3,64.49466273569871,0.0,2462.433297180152,0.0,54.2575422249191,64.49466273569871
2,0,5065.293686990657,0.0,5542.010975954088,0.0,21.3111643858791,5065.293686990657
2,1,0.0,0.0,0.0,0.0,64.86244677597638,0.0
2,2,16110.11601510229,0.0,6668.393511849906,0.0,110.49306288021191,16110.11601510229
2,3,79.94088046426837,0.0,2212.6026794723784,0.0,53.617256050519146,79.94088046426837
3,0,6137.250514525388,0.0,6692.138816973258,0.0,26.31146164262552,6137.250514525388
3,1,0.0,0.0,2.0315784301913657,0.0,78.30368905782443,0.0
3,2,18697.106530979174,0.0,7678.351076890205,0.0,129.12709605394,18697.106530979174
3,3,66.76992690286838,0.0,2718.855194040952,0.0,59.163646203328916,66.76992690286838
