j,ID_unique,POINT_X,POINT_Y,Y,LandPrice,Grid_supply,Actual_required_MW,Available_intake_MW,Chosen_BatTypes
231,683,160244.7342,382510.6286,1.0,249.1643372,77,110.1706551,64,0
232,687,162455.1118,387263.5747,1.0,296.3067017,207,197.6820818,190,0
233,689,161792.2924,386151.4161,1.0,285.0277405,207,197.6820818,190,0
238,708,164020.1804,384178.9958,1.0,348.9599915,207,197.6820818,190,0
239,710,160788.0633,386280.7311,1.0,280.7997131,111,121.8170066,109,0
240,713,163557.1766,383670.0884,1.0,291.0299683,207,197.6820818,190,0
248,734,162228.6338,387635.3688,1.0,328.8504639,207,197.6820818,190,0
249,735,163111.1378,383522.1401,1.0,321.5799866,207,197.6820818,190,0
251,743,163732.0157,382075.0343,1.0,317.6000061,207,197.6820818,190,0
253,752,162993.6045,382160.8775,1.0,304.5598145,207,197.6820818,190,0
254,753,159938.9716,384468.1506,1.0,282.0003357,111,121.8170066,109,0
255,757,157477.3051,383859.2385,1.0,480.171875,77,110.1706551,64,0
256,759,160581.0017,387700.3169,1.0,307.5,207,197.6820818,190,0
258,764,160374.1711,384614.7899,1.0,302.3200073,111,121.8170066,109,0
259,770,157980.1665,383753.3438,1.0,260.0395203,77,110.1706551,64,0
260,784,159332.2573,382804.8425,1.0,324.6180725,77,110.1706551,64,0
263,791,157210.8284,383841.5929,1.0,671.7888794,77,110.1706551,64,0
267,800,161424.4776,383064.7879,1.0,298.6799927,111,121.8170066,109,0
270,805,161135.4424,383184.8164,1.0,297.4362793,77,110.1706551,64,0
271,811,161692.1705,385242.4313,1.0,290.2573547,207,197.6820818,190,0
272,813,162116.0836,381687.4165,1.0,306.1199951,207,197.6820818,190,0
273,814,161125.5237,387399.43,1.0,284.8727112,207,197.6820818,190,0
274,816,161016.6571,383807.1498,1.0,275.5521851,207,197.6820818,190,0
277,821,160120.9786,385493.1588,1.0,306.0400085,111,121.8170066,109,0
278,822,161173.0638,387894.9602,1.0,340.0499878,207,197.6820818,190,0
281,830,163727.4327,381923.5287,1.0,290.2218628,207,197.6820818,190,0
282,833,161531.3688,385862.4023,1.0,330.7999878,207,197.6820818,190,0
284,835,159542.0003,384334.5794,1.0,348.5764465,111,121.8170066,109,0
285,836,160578.2822,386365.0707,1.0,265.5205383,111,121.8170066,109,0
288,852,162988.9509,383956.9646,1.0,599.7349854,207,197.6820818,190,0
289,853,160208.0685,384786.8268,1.0,285.6400146,111,121.8170066,109,0
290,861,163095.2368,382644.5056,1.0,345.1273193,207,197.6820818,190,0
293,869,160504.5909,384277.3335,1.0,264.8800049,111,121.8170066,109,0
294,870,158719.7226,383657.2651,1.0,295.2080078,77,110.1706551,64,0
298,886,160890.3848,386322.7653,1.0,295.7626648,111,121.8170066,109,0
299,887,161816.4686,386270.1644,1.0,299.7811584,207,197.6820818,190,0
300,888,164321.5797,384233.0268,1.0,362.2683411,207,197.6820818,190,0
302,890,160523.5931,385870.8228,1.0,264.5167236,111,121.8170066,109,0
303,891,161584.4374,383600.7372,1.0,364.2971802,207,197.6820818,190,0
304,895,161522.636,387138.4117,1.0,321.4078979,111,121.8170066,109,0
306,903,157859.0068,381338.1556,1.0,372.9271545,77,110.1706551,64,0
311,917,160318.6451,387694.6145,1.0,300.0843506,207,197.6820818,190,0
312,919,160767.4208,383636.281,1.0,322.1714172,111,121.8170066,109,0
313,920,159574.1601,381998.6736,1.0,280.4500122,77,110.1706551,64,0
315,930,157842.5067,383776.5023,1.0,320.2145691,77,110.1706551,64,0
317,935,159966.8379,381413.1001,1.0,265.2000122,77,110.1706551,64,0
318,937,161085.9219,385771.8071,1.0,240.5599976,111,121.8170066,109,0
319,938,157741.7429,383758.1443,1.0,357.0935364,111,121.8170066,109,0
320,939,158045.2247,383405.3951,1.0,369.0457764,77,110.1706551,64,0
321,940,162141.1603,385606.4178,1.0,391.0914307,207,197.6820818,190,0
328,956,158675.0856,381565.0024,1.0,308.0599976,77,110.1706551,64,0
330,962,161395.3088,385016.8652,1.0,277.2999878,207,197.6820818,190,0
333,978,159543.4871,383056.1578,1.0,289.908905,77,110.1706551,64,0
334,979,161961.4198,385370.8716,1.0,264.3457642,207,197.6820818,190,0
336,985,159576.104,384859.6578,1.0,245.6785278,111,121.8170066,109,0
337,990,161875.1568,384946.3795,1.0,184.0523376,207,197.6820818,190,0
340,997,162387.7158,387952.0186,1.0,321.7678528,207,197.6820818,190,0
341,1001,161427.32,387738.6705,1.0,330.7017822,207,197.6820818,190,0
346,1019,161242.2256,385171.8411,1.0,316.0144348,111,121.8170066,109,0
347,1025,157751.8945,383203.4084,1.0,393.5039063,77,110.1706551,64,0
348,1027,162074.5898,387512.3129,1.0,286.8335876,207,197.6820818,190,0
350,1031,163101.4662,383167.029,1.0,243.8999939,207,197.6820818,190,0
351,1032,160350.2929,386918.3292,1.0,258.6822815,111,121.8170066,109,0
353,1035,157174.2965,383532.244,1.0,497.019989,77,110.1706551,64,0
356,1045,163918.6285,383853.6197,1.0,311.3414307,207,197.6820818,190,0
359,1053,160537.4703,382467.2721,1.0,410.739624,77,110.1706551,64,0
363,1065,160522.6219,381726.9293,1.0,329.1205139,77,110.1706551,64,0
365,1068,162397.7978,387541.2874,1.0,282.3875427,207,197.6820818,190,0
366,1076,158300.8247,383313.1406,1.0,307.9997864,77,110.1706551,64,0
367,1077,160613.3782,383748.6511,1.0,310.2871704,111,121.8170066,109,0
368,1081,161745.9741,382855.8252,1.0,270.2616577,207,197.6820818,190,0
369,1082,163657.1047,382507.5796,1.0,367.2158813,207,197.6820818,190,0
370,1090,163204.6361,381337.5336,1.0,238.2330933,207,197.6820818,190,0
372,1097,161415.8328,385973.8713,1.0,326.2099915,207,197.6820818,190,0
374,1099,159436.1742,384101.6493,1.0,339.7538147,111,121.8170066,109,0
378,1108,163771.0575,383481.8247,1.0,301.7399902,207,197.6820818,190,0
379,1109,162265.5282,385272.9462,1.0,405.4434204,207,197.6820818,190,0
380,1111,160919.1526,387360.4916,1.0,267.7099915,207,197.6820818,190,0
383,1118,160948.6943,384244.6617,1.0,325.0,111,121.8170066,109,0
384,1122,162687.2315,381445.624,1.0,294.7980042,207,197.6820818,190,0
385,1133,157955.3387,383126.0084,1.0,401.4805908,77,110.1706551,64,0
386,1138,159881.2133,384987.6019,1.0,234.1212158,111,121.8170066,109,0
390,1146,163167.9277,382737.8946,1.0,343.772583,207,197.6820818,190,0
391,1147,163904.775,383623.3828,1.0,346.2999878,207,197.6820818,190,0
392,1150,162048.9474,385099.0709,1.0,345.5028381,207,197.6820818,190,0
395,1154,160704.1951,385209.8253,1.0,294.6401672,111,121.8170066,109,0
396,1156,162727.5649,384150.3264,1.0,425.1390991,207,197.6820818,190,0
397,1165,162973.534,383792.6973,1.0,696.0876465,207,197.6820818,190,0
399,1174,161437.9186,383787.1522,1.0,335.1678467,207,197.6820818,190,0
401,1184,161961.1595,387413.2781,1.0,300.8681946,111,121.8170066,109,0
405,1192,160721.909,381933.4903,1.0,408.6998596,77,110.1706551,64,0
407,1197,159795.5911,387926.0349,1.0,274.7999878,207,197.6820818,190,0
409,1206,164028.3459,383251.0029,1.0,283.9078064,207,197.6820818,190,0
413,1214,161755.1074,387872.5463,1.0,352.2127686,207,197.6820818,190,0
414,1218,161135.2844,383587.3696,1.0,377.4701843,111,121.8170066,109,0
