station_j,m,t,inventory_MWh
53,2,0,0.088
53,2,2,0.088
53,2,3,0.088
53,3,0,0.088
53,3,2,0.1
53,3,3,0.088
57,0,0,0.088
57,0,2,0.1
57,1,0,0.088
57,1,2,0.1
57,2,0,0.088
57,2,2,0.1
57,3,0,0.088
57,3,2,0.1
58,0,0,0.1
58,0,1,0.01200000000000001
58,0,2,0.1
58,0,3,0.1
58,1,0,0.088
58,1,2,0.088
58,1,3,0.088
58,2,0,0.088
58,2,2,0.088
58,2,3,0.088
58,3,0,0.1
58,3,1,0.01200000000000001
58,3,2,0.1
58,3,3,0.1
63,0,0,0.1
63,0,1,0.01200000000000001
63,0,2,0.1
63,0,3,0.1
63,1,0,0.1
63,1,1,0.01200000000000001
63,1,2,0.1
63,1,3,0.1
63,2,0,0.088
63,2,2,0.088
63,2,3,0.088
63,3,0,0.1
63,3,1,0.01200000000000001
63,3,2,0.1
63,3,3,0.1
64,0,0,0.088
64,0,2,0.1
64,1,0,0.088
64,1,2,0.1
64,2,0,0.088
64,2,2,0.1
64,3,0,0.088
64,3,2,0.1
66,0,0,0.088
66,0,2,0.1
66,1,0,0.088
66,1,2,0.1
66,2,0,0.088
66,2,2,0.1
66,3,0,0.088
66,3,2,0.1
67,0,0,0.088
67,0,2,0.088
67,0,3,0.088
67,1,0,0.088
67,1,2,0.088
67,1,3,0.088
67,2,0,0.088
67,2,2,0.088
67,2,3,0.088
67,3,0,0.1
67,3,1,0.01200000000000001
67,3,2,0.1
67,3,3,0.1
68,0,0,0.088
68,0,2,0.1
68,1,0,0.088
68,1,2,0.1
68,2,0,0.088
68,2,2,0.1
68,3,0,0.088
68,3,2,0.1
71,0,0,0.088
71,0,2,0.088
71,0,3,0.088
71,1,0,0.088
71,1,2,0.088
71,1,3,0.088
71,2,0,0.088
71,2,2,0.088
71,2,3,0.088
71,3,0,0.1
71,3,1,0.01200000000000001
71,3,2,0.1
71,3,3,0.1
72,0,0,0.088
72,0,2,0.1
72,0,3,0.088
72,1,0,0.088
72,1,2,0.088
72,1,3,0.088
72,2,0,0.1
72,2,1,0.01200000000000001
72,2,2,0.1
72,2,3,0.1
72,3,0,0.1
72,3,1,0.01200000000000001
72,3,2,0.1
72,3,3,0.1
74,0,0,0.088
74,0,2,0.088
74,0,3,0.088
74,2,0,0.1
74,2,1,0.1
74,2,2,0.1
74,2,3,0.1
74,3,0,0.1
74,3,1,0.01200000000000001
74,3,2,0.1
74,3,3,0.1
78,0,0,0.1
78,0,1,0.01200000000000001
78,0,2,0.1
78,0,3,0.1
78,1,0,0.088
78,1,2,0.088
78,1,3,0.088
78,2,0,0.1
78,2,1,0.01200000000000001
78,2,2,0.1
78,2,3,0.1
78,3,0,0.1
78,3,1,0.01200000000000001
78,3,2,0.1
78,3,3,0.1
79,0,0,0.088
79,0,2,0.088
79,0,3,0.088
79,1,0,0.088
79,1,2,0.088
79,1,3,0.088
79,2,0,0.1
79,2,1,0.01200000000000001
79,2,2,0.1
79,2,3,0.1
79,3,0,0.1
79,3,1,0.01200000000000001
79,3,2,0.1
79,3,3,0.1
80,0,0,0.088
80,0,2,0.1
80,1,0,0.088
80,1,2,0.1
80,2,0,0.088
80,2,2,0.1
80,3,0,0.088
80,3,2,0.1
83,0,0,0.088
83,0,2,0.088
83,0,3,0.088
83,2,0,0.1
83,2,1,0.1
83,2,2,0.1
83,2,3,0.1
83,3,0,0.088
83,3,2,0.088
83,3,3,0.088
85,0,0,0.1
85,0,1,0.01200000000000001
85,0,2,0.1
85,0,3,0.1
85,3,0,0.0666946031874299
85,3,2,0.0666946031874299
85,3,3,0.0666946031874299
86,0,0,0.088
86,0,2,0.1
